Conta;Classificação;C5;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2025;01/02/2025
1131;Despesas Administrativas fixas;1131 - Despesas com Cartorio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1133;Despesas Administrativas fixas;1133 - Treinamentos, Cursos e Eventos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1134;Despesas Administrativas fixas;1134 - Despesas c/ Viagens, Estadias e Refeicoes;-31.050 ;-32.493 ;-34.040 ;-32.493 ;-37.134 ;-34.040 ;-35.587 ;-36.563 ;-32.786 ;-30.470 ;-40.460 ; 31.524 
1135;Despesas Administrativas fixas;1135 - Despesas com Eventos e Feiras; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1137;Despesas Administrativas fixas;1137 - Uniformes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1139;Despesas Administrativas fixas;1139 - Material de Limpeza e Higiene; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1141;Despesas Administrativas fixas;1141 - Confraternizacoes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1142;Despesas Administrativas fixas;1142 - Material de Informatica; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1143;Despesas Administrativas fixas;1143 - Amonia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1149;Despesas Administrativas fixas;1149 - Seguro Imoveis; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1197;Custos variáveis;1197 - Gastos com Producao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1199;Custos variáveis;1199 - Variacao do Valor da Racao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1200;Custos variáveis;1200 - Rateio de Custo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1201;Custos variáveis;1201 - Transferencia de Custo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1202;Custos variáveis;1202 - Variacao do Estoque Produto Acabado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1203;Custos variáveis;1203 - Gastos com Manut. Producao Avicola; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1227;Custos variáveis;1227 - Embalagens Primarias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1228;Custos variáveis;1228 - Embalagens Secundarias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1229;Custos variáveis;1229 - Fita Datadora; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1230;Custos variáveis;1230 - Grampo para Seloclip; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1275;Impostos sobre vendas;1275 - ICMS s/ Vendas;-54.948 ;-57.222 ;-58.736 ;-54.899 ;-63.971 ;-60.323 ;-67.175 ;-73.348 ;-64.135 ;-59.267 ;-56.291 ;-140.581 
1276;Impostos sobre vendas;1276 - Desoneracao da Folha; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1279;Despesas Financeiras Tributárias;1279 - IRRF s/ Aplicacao Financeira; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-84 ;-1.733 
1281;Outras Receitas/Despesas Operacionais;1281 - Amostra / Brindes/Bonificacao;-5.109 ;-5.346 ;-5.601 ;-5.346 ;-6.110 ;-5.601 ;-5.856 ;-6.016 ;-5.395 ;-5.014 ; -   ; -   
1285;Despesas Administrativas fixas;1285 - Comissao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1294;Despesas Administrativas fixas;1294 - Medicina no Trabalho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1295;Despesas Administrativas fixas;1295 - Mensalidade Unimed; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1307;Despesas Administrativas fixas;1307 - Seguro Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1308;Custos fixos;1308 - Seguro Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1310;Custos fixos;1310 - Aluguel de Maquinas e Equipamentos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1311;Custos fixos;1311 - Medicina no Trabalho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1312;Despesas Administrativas fixas;1312 - Gratificacoes;-17.963 ;-13.863 ;-13.863 ;-13.863 ;-13.863 ;-13.863 ;-13.863 ;-13.863 ;-13.863 ;-13.863 ;-15.536 ;-7.149 
1313;Despesas Administrativas fixas;1313 - Descanso Semanal Remunerado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1314;Custos fixos;1314 - Alimentacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1315;Despesas Administrativas fixas;1315 - Alimentacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1316;Despesas Administrativas fixas;1316 - Plano de Saude; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1317;Custos fixos;1317 - Plano de Saude; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1318;Custos fixos;1318 - Periculosidade;-2.493 ;-2.436 ;-2.436 ;-2.436 ;-2.436 ;-2.436 ;-2.436 ;-2.436 ;-2.436 ;-2.436 ;-1.700 ;-1.304 
1319;Despesas Administrativas fixas;1319 - Periculosidade; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1320;Custos fixos;1320 - Adicional Noturno;-5.203 ;-5.082 ;-5.082 ;-5.082 ;-5.082 ;-5.082 ;-5.082 ;-5.082 ;-5.082 ;-5.082 ;-4.552 ;-6.077 
1321;Despesas Administrativas fixas;1321 - Adicional Noturno;-357 ;-276 ;-276 ;-276 ;-276 ;-276 ;-276 ;-276 ;-276 ;-276 ;-870 ;-742 
1322;Custos fixos;1322 - Hora Extra;-1.092 ;-1.067 ;-1.067 ;-1.067 ;-1.067 ;-1.067 ;-1.067 ;-1.067 ;-1.067 ;-1.067 ;-55.374 ;-2.180 
1323;Custos fixos;1323 - DSR s/ Hora Extra;-1.420 ;-1.387 ;-1.387 ;-1.387 ;-1.387 ;-1.387 ;-1.387 ;-1.387 ;-1.387 ;-1.387 ;-11.524 ;-1.376 
1324;Despesas Administrativas fixas;1324 - Hora Extra; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-2.095 ; -   
1325;Despesas Administrativas fixas;1325 - DSR Hora Extra; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-570 ;-124 
1326;Custos fixos;1326 - Descanso Semanal Remunerado;-3.837 ;-3.748 ;-3.748 ;-3.748 ;-3.748 ;-3.748 ;-3.748 ;-3.748 ;-3.748 ;-3.748 ;-2.001 ;-1.739 
1327;Custos fixos;1327 - Gratificacoes;-24.251 ;-23.804 ;-23.804 ;-23.804 ;-23.804 ;-23.804 ;-23.804 ;-23.804 ;-23.804 ;-23.804 ;-23.689 ;-24.557 
1328;Custos fixos;1328 - Ferias Proporcionais;-18.504 ;-18.235 ;-18.235 ;-18.235 ;-18.235 ;-18.235 ;-18.235 ;-18.235 ;-18.235 ;-18.235 ;-30.366 ;-9.488 
1329;Custos fixos;1329 - 1/3 Ferias; -   ;-16.964 ;-16.964 ;-16.964 ;-16.964 ;-16.964 ;-16.964 ;-16.964 ;-16.964 ; -   ;-24.260 ;-13.235 
1330;Custos fixos;1330 - Aviso Previo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1331;Custos fixos;1331 - Saldo Salario; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1332;Despesas Administrativas fixas;1332 - Ferias Proporcionais; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-20.279 ;-12.457 
1333;Despesas Administrativas fixas;1333 - 1/3 Ferias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-10.007 ;-7.119 
1334;Despesas Administrativas fixas;1334 - Aviso Previo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1335;Despesas Administrativas fixas;1335 - Saldo Salario; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1336;Custos fixos;1336 - Adicional Noturno; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1338;Despesas Administrativas fixas;1338 - Contribuicao de Terceiros;-5.931 ;-4.651 ;-4.651 ;-4.651 ;-4.651 ;-4.651 ;-4.651 ;-4.651 ;-4.651 ;-4.651 ;-6.905 ;-4.913 
1339;Despesas Administrativas fixas;1339 - Seguro Acidente do Trabalho - RAT;-2.373 ;-1.860 ;-1.860 ;-1.860 ;-1.860 ;-1.860 ;-1.860 ;-1.860 ;-1.860 ;-1.860 ;-4.203 ;-3.055 
1340;Custos fixos;1340 - Seguro Acidente do Trabalho - RAT;-17.101 ;-16.806 ;-16.806 ;-16.806 ;-16.806 ;-16.806 ;-16.806 ;-16.806 ;-16.806 ;-16.806 ;-26.120 ;-24.166 
1341;Custos fixos;1341 - Contribuicao de Terceiros;-42.753 ;-42.015 ;-42.015 ;-42.015 ;-42.015 ;-42.015 ;-42.015 ;-42.015 ;-42.015 ;-42.015 ;-41.878 ;-38.552 
1344;Custos fixos;1344 - Equipamento de Protecao Individual - EPI; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1345;Custos variáveis;1345 - Manutencao Hidraulica;-3.415 ;-3.574 ;-3.744 ;-3.574 ;-4.084 ;-3.744 ;-3.914 ;-4.021 ;-3.606 ;-3.351 ;-14.133 ;-9.587 
1346;Despesas Financeiras Tributárias;1346 - Outras Despesas Financeiras;-1.689 ;-1.791 ;-2.080 ;-1.938 ;-2.385 ;-2.208 ;-2.361 ;-2.594 ;-2.412 ;-2.087 ;-2.319 ; -   
1347;Despesas Administrativas fixas;1347 - IPTU; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1348;Custos fixos;1348 - IPTU; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1349;Custos variáveis;1349 - Servicos Contratados; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1350;Despesas Administrativas fixas;1350 - Despesas com Factoring; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1351;Custos fixos;1351 - IRF Prestador de Servicos - 1708; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1352;Custos fixos;1352 - CSRF - 5952; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1353;Custos fixos;1353 - IRRF s/ Folha - 0561; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1354;Despesas Administrativas fixas;1354 - IRRF Prestador de Servicos - 1708; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1355;Despesas Administrativas fixas;1355 - CSRF - 5952; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1356;Despesas Administrativas fixas;1356 - IRF s/ Folha - 0561; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1358;Custos fixos;1358 - 13° Salario Indenizado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-1.117 ; -   
1359;Custos fixos;1359 - Aviso Previo Indenizado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-7.876 ; -   
1361;Despesas Administrativas fixas;1361 - Manutencao e Conservacao de Benfeitorias;-3.096 ;-3.240 ;-3.394 ;-3.240 ;-3.703 ;-3.394 ;-3.549 ;-3.646 ;-3.269 ;-3.038 ;-38.193 ;-11.976 
1362;Despesas Administrativas fixas;1362 - Despesas com Advogados; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1363;Despesas Administrativas fixas;1363 - Diferencial de Aliquota;-6.183 ;-6.470 ;-6.778 ;-6.470 ;-7.395 ;-6.778 ;-7.086 ;-7.281 ;-6.529 ;-6.067 ;-6.483 ;-4.253 
1364;Impostos sobre vendas;1364 - ( - ) ICMS - Credito Presumido; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1365;Custos variáveis;1365 - ( - ) Encerramento Custos de Producao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1366;Custos variáveis;1366 - CPV - Custo Produto Vendido; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1367;Custos variáveis;1367 - Ferramentas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1377;Custos fixos;1377 - Hora Extra 100%; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1378;Despesas Administrativas fixas;1378 - Salario Maternidade; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1379;Despesas Administrativas fixas;1379 - Convenio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1380;Custos fixos;1380 - Salario Maternidade; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1381;Custos fixos;1381 - Convenio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1383;Custos variáveis;1383 - ( - ) Encerramento Custos de Producao; 15.882.300 ; 16.935.080 ; 17.620.441 ; 16.966.251 ; 19.273.718 ; 17.865.559 ; 18.853.801 ; 19.724.561 ; 18.144.417 ; 16.454.723 ; 16.609.267 ; 14.171.510 
1384;Custos variáveis;1384 - Hospedagem; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1388;Custos fixos;1388 - Cesta Basica; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1389;Custos fixos;1389 - Despesas com Vestiarios; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1392;Despesas Comerciais / Logistica / Expedição variáveis;1392 - Descontos Concedidos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1393;Despesas Comerciais / Logistica/ Expedição fixas;1393 - Bonificacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1394;Despesas Comerciais / Logistica / Expedição variáveis;1394 - Servicos de Fretes - Entrega;-7.252 ;-7.588 ;-7.950 ;-7.588 ;-8.672 ;-7.950 ;-8.311 ;-8.539 ;-7.657 ;-7.116 ; -   ; -   
1399;Outras Receitas/Despesas Operacionais;1399 - Recuperacao de Despesa; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1404;Despesas Administrativas fixas;1404 - Retirada Pro-Labores; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1406;Despesas Administrativas fixas;1406 - 13° Salario Indenizado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1407;Despesas Administrativas fixas;1407 - Aviso Previo Indenizado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1409;Outras Receitas/Despesas Operacionais;1399 - Recuperacao de Despesa; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1410;Despesas Comerciais / Logistica / Expedição variáveis;1410 - Despesas c/ Viagens e Estadias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1411;Custos fixos;1411 - Lubrificante p/ Manutencao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1412;Despesas Comerciais / Logistica/ Expedição fixas;1412 - Despesa com Certidoes (Clientes); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1415;Custos fixos;1415 - Provisao p/ Ferias;-51.782 ;-21.243 ;-21.243 ;-21.243 ;-21.243 ;-21.243 ;-21.243 ;-21.243 ;-21.243 ;-21.243 ; 2.774 ;-11.969 
1416;Custos fixos;1416 - Provisao p/ 13º Salario;-70.612 ;-69.398 ;-69.398 ;-69.398 ;-69.398 ;-69.398 ;-69.398 ;-69.398 ;-69.398 ;-69.398 ;-57.706 ;-53.128 
1417;Despesas Administrativas fixas;1417 - Provisao p/ Ferias;-2.690 ;-2.076 ;-2.076 ;-2.076 ;-2.076 ;-2.076 ;-2.076 ;-2.076 ;-2.076 ;-2.076 ; 23.364 ; 13.358 
1418;Despesas Administrativas fixas;1418 - Provisao p/ 13° Salario;-9.974 ;-7.698 ;-7.698 ;-7.698 ;-7.698 ;-7.698 ;-7.698 ;-7.698 ;-7.698 ;-7.698 ;-7.828 ;-5.293 
1419;Custos fixos;1419 - Encargos s/ Provisao de Ferias;-10.460 ;-4.291 ;-4.291 ;-4.291 ;-4.291 ;-4.291 ;-4.291 ;-4.291 ;-4.291 ;-4.291 ;-7.446 ;-4.501 
1420;Custos fixos;1420 - Encargos s/ Provisao de 13° Salario;-14.264 ;-14.018 ;-14.018 ;-14.018 ;-14.018 ;-14.018 ;-14.018 ;-14.018 ;-14.018 ;-14.018 ;-21.609 ;-19.889 
1421;Despesas Administrativas fixas;1421 - Encargos s/ Provisao de Ferias;-543 ;-419 ;-419 ;-419 ;-419 ;-419 ;-419 ;-419 ;-419 ;-419 ; 6.801 ; 5.006 
1422;Despesas Administrativas fixas;1422 - Encargos s/ Provisao de 13° Salario;-2.015 ;-1.555 ;-1.555 ;-1.555 ;-1.555 ;-1.555 ;-1.555 ;-1.555 ;-1.555 ;-1.555 ;-2.928 ;-1.980 
1423;Impostos sobre vendas;1423 - PIS s/ Vendas;-12.679 ;-13.126 ;-13.119 ;-12.111 ;-14.287 ;-13.670 ;-15.284 ;-16.824 ;-14.438 ;-13.454 ;-13.061 ;-14.717 
1424;Impostos sobre vendas;1424 - COFINS s/ Vendas;-58.399 ;-60.457 ;-60.426 ;-55.786 ;-65.806 ;-62.965 ;-70.399 ;-77.492 ;-66.504 ;-61.972 ;-74.090 ;-67.787 
1427;Custos fixos;1427 - Alimentacao do Trabalhador;-92.855 ;-90.889 ;-90.889 ;-90.889 ;-90.889 ;-90.889 ;-90.889 ;-90.889 ;-90.889 ;-90.889 ;-74.554 ;-93.109 
1428;Despesas Administrativas fixas;1428 - Alimentacao do Trabalhador;-23.068 ;-17.803 ;-17.803 ;-17.803 ;-17.803 ;-17.803 ;-17.803 ;-17.803 ;-17.803 ;-17.803 ;-30.535 ;-48.830 
1434;Outras Receitas/Despesas Operacionais;1399 - Recuperacao de Despesa; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1435;Despesas Administrativas fixas;1435 - Ferramentas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1436;Custos variáveis;1436 - Utensilios; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1441;Despesas Administrativas fixas;1441 - Manutencao Hidraulica;-48 ;-51 ;-53 ;-51 ;-58 ;-53 ;-55 ;-57 ;-51 ;-48 ;-1.856 ;-451 
1444;Custos variáveis;1444 - Veneno; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1445;Despesas Administrativas fixas;1445 - Veneno; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1446;Custos fixos;1446 - Granja Canela; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1447;Custos fixos;1447 - Granja Morrinhos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1448;Custos fixos;1448 - Fabrica de Racao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1458;Outras Receitas/Despesas Financeiras;1458 - Atualizacao Monetaria; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1462;Provisão IR/CSLL;1462 - IRPJ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1463;Provisão IR/CSLL;1463 - CSLL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1467;Custos variáveis;1467 - Medicamentos G.; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1475;Outras Receitas/Despesas Operacionais;1399 - Recuperacao de Despesa; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1481;Despesas Administrativas fixas;1481 - Marcas e Patentes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1497;Custos variáveis;1497 - Pinto para Criacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1505;Custos variáveis;1505 - Racao Wisium Pre-Inicial; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1506;Custos variáveis;1506 - Racao Wisium Inicial; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1507;Custos variáveis;1507 - Racao Wisium Crescimento; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1508;Custos variáveis;1508 - Maravalha; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1510;Custos variáveis;1510 - Acerto com Integrado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1521;Custos variáveis;1521 - Casquinha de Arroz; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1522;Despesas Financeiras Tributárias;1522 - IOF s/Aplicacao Financeira; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1532;Outras Receitas/Despesas Financeiras;1532 - Multas de Parcelamentos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1533;Juros;1533 - Juros / Multa sobre Tributos;-11.304 ;-11.987 ;-13.923 ;-12.975 ;-15.970 ;-14.780 ;-15.803 ;-17.363 ;-16.150 ;-13.970 ;-1.764 ;-3.470 
1538;Despesas Administrativas fixas;1538 - Material e Manutencao de Informatica;-1.937 ;-2.027 ;-2.124 ;-2.027 ;-2.317 ;-2.124 ;-2.221 ;-2.281 ;-2.046 ;-1.901 ;-1.976 ;-695 
1539;Custos variáveis;1539 - Racao Wisium Final; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1540;Custos variáveis;1540 - Racao Fatec Pre-Inicial; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1541;Custos variáveis;1541 - Racao Fatec Crescimento; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1542;Custos variáveis;1542 - Racao Fatec Final; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1543;Custos variáveis;1543 - Adsorvente T5X; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1544;Custos variáveis;1544 - Calcario Calcitico; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1545;Custos variáveis;1545 - Bicarbonato de Sodio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1546;Custos variáveis;1546 - Racao Wisium Crescimento; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1547;Custos variáveis;1547 - Farinha de Carne; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1551;Custos variáveis;1551 - Carvao Vegetal; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1574;Custos fixos;1574 - Insalubridade;-1.614 ;-1.576 ;-1.576 ;-1.576 ;-1.576 ;-1.576 ;-1.576 ;-1.576 ;-1.576 ;-1.576 ;-607 ;-607 
1589;Outras Receitas/Despesas Operacionais;1589 - Aluguel de Imovel; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1590;Outras Receitas/Despesas Financeiras;1590 - Seguros (Equipamento); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1597;Custos variáveis;1597 - Manutencao Veiculos Corretiva;-12.973 ;-13.575 ;-14.222 ;-13.575 ;-15.515 ;-14.222 ;-14.868 ;-15.276 ;-13.698 ;-12.730 ;-645 ;-2.385 
1598;Custos fixos;1598 - Manutencao Veiculos Preventiva;-26.327 ;-27.550 ;-28.862 ;-27.550 ;-31.486 ;-28.862 ;-30.174 ;-31.002 ;-27.799 ;-25.835 ;-32.176 ;-8.278 
1607;Custos variáveis;1607 - Combustivel Fabrica Graneleiros; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1608;Outras Receitas/Despesas Financeiras;1608 - Seguros de Vida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1609;Despesas Financeiras Tributárias;1609 - Multas Pagas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1610;Custos fixos;1610 - Irrigacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1611;Custos fixos;1611 - Insalubridade 30%; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1612;Despesas Administrativas fixas;1612 - Desconto DSR s/ Faltas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1613;Custos fixos;1613 - Bonificacao (Abono); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1614;Custos fixos;1614 - Comissao;-17.370 ;-16.969 ;-16.969 ;-16.969 ;-16.969 ;-16.969 ;-16.969 ;-16.969 ;-16.969 ;-16.969 ;-10.405 ;-10.431 
