Conta;Classificação;C5;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2025;01/02/2025
893;Custos variáveis;893 - Servico Carga e Descarga; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
894;Despesas Administrativas fixas;894 - Honorarios Advocaticios; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-700 ;-8.000 
895;Despesas Administrativas fixas;895 - Servicos Profissionais Contratados P. Juridica;-279.311 ;-282.926 ;-282.926 ;-282.926 ;-282.926 ;-282.926 ;-282.926 ;-282.926 ;-282.926 ;-282.926 ;-22.897 ;-2.462 
896;Despesas Administrativas fixas;896 - Monitoramento e Manutencao Sistema de Seguranca; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
898;Despesas Administrativas fixas;898 - Suporte Tecnico Informatica; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
900;Despesas Administrativas fixas;900 - Servico Consultoria e Assessoria;-310.400 ;-52.222 ;-52.222 ;-52.222 ;-52.222 ;-52.222 ;-52.222 ;-52.222 ;-52.222 ;-52.222 ;-5.500 ;-45.796 
901;Despesas Administrativas fixas;901 - Comissao Representantes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
902;Despesas Administrativas fixas;902 - Servico Carga e Descarga; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
912;Custos variáveis;912 - Manutencao Mecanica;-112.636 ;-117.867 ;-123.480 ;-117.867 ;-134.706 ;-123.480 ;-129.093 ;-132.635 ;-118.931 ;-110.529 ;-131.656 ;-116.985 
913;Custos fixos;913 - Manutencao e Conservacao de Benfeitorias;-2.649 ;-2.772 ;-2.904 ;-2.772 ;-3.168 ;-2.904 ;-3.036 ;-3.120 ;-2.797 ;-2.600 ;-33.410 ;-945 
914;Custos variáveis;914 - Manutencoes Graxaria; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
915;Custos variáveis;915 - Combustiveis e Lubrificantes de Maquinas;-3.852 ;-4.031 ;-4.223 ;-4.031 ;-4.606 ;-4.223 ;-4.414 ;-4.536 ;-4.067 ;-3.780 ;-13.475 ;-4.469 
917;Custos variáveis;917 - Manutencao Eletrica;-44.859 ;-46.943 ;-49.178 ;-46.943 ;-53.649 ;-49.178 ;-51.414 ;-52.824 ;-47.366 ;-44.020 ;-40.359 ;-29.970 
918;Custos variáveis;918 - Manutencao Civil; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
919;Custos variáveis;919 - Manutencao Sala de Maquinas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
920;Custos fixos;920 - Manutencao Civil;-23.817 ;-24.923 ;-26.110 ;-24.923 ;-28.483 ;-26.110 ;-27.296 ;-28.045 ;-25.148 ;-23.371 ;-10.438 ;-30.016 
921;Custos variáveis;921 - Manutencao ETE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
922;Custos variáveis;922 - Manutencao Caldeira; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
923;Custos variáveis;923 - Manutencao ETA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
924;Custos variáveis;924 - Manutencao da Estrutura e Equipamentos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
930;Despesas Administrativas fixas;930 - Manutencao Eletrica;-345 ;-361 ;-378 ;-361 ;-413 ;-378 ;-395 ;-406 ;-364 ;-339 ;-1.319 ;-69 
933;Despesas Administrativas fixas;933 - Manutencao Civil;-632 ;-661 ;-693 ;-661 ;-756 ;-693 ;-724 ;-744 ;-667 ;-620 ;-1.550 ;-2.668 
937;Despesas Administrativas fixas;937 - Manutencao Mecanica;-38 ;-40 ;-42 ;-40 ;-45 ;-42 ;-43 ;-45 ;-40 ;-37 ;-1.853 ;-14 
951;Depreciações e Amortizações;951 - Depreciacoes;-100.595 ;-96.762 ;-96.762 ;-96.679 ;-96.537 ;-96.537 ;-96.537 ;-96.506 ;-96.352 ;-96.347 ;-101.446 ;-102.158 
953;Depreciações e Amortizações;953 - Depreciacoes;-8.018 ;-8.018 ;-8.018 ;-8.018 ;-8.018 ;-8.018 ;-7.853 ;-5.219 ;-5.117 ;-5.117 ;-10.189 ;-10.341 
957;Custos variáveis;957 - Energia Eletrica;-314.346 ;-328.947 ;-344.611 ;-328.947 ;-375.939 ;-344.611 ;-360.275 ;-370.160 ;-331.915 ;-308.466 ;-306.895 ;-343.314 
959;Custos fixos;959 - Comunicacoes (Telefone, Correio e Internet);-232 ;-242 ;-254 ;-242 ;-277 ;-254 ;-265 ;-273 ;-245 ;-227 ;-693 ;-2.249 
960;Custos variáveis;960 - Agua e Saneamento;-4.574 ;-4.786 ;-5.014 ;-4.786 ;-5.470 ;-5.014 ;-5.242 ;-5.386 ;-4.830 ;-4.488 ;-9.665 ;-13.522 
961;Despesas Administrativas fixas;961 - Energia Eletrica;-1.167 ;-901 ;-901 ;-901 ;-901 ;-901 ;-901 ;-901 ;-901 ;-901 ;-57 ;-66 
963;Despesas Administrativas fixas;963 - Comunicacoes (Telefone, Correio e Internet);-5.551 ;-5.809 ;-6.086 ;-5.809 ;-6.639 ;-6.086 ;-6.362 ;-6.537 ;-5.861 ;-5.447 ;-8.685 ;-6.758 
964;Despesas Administrativas fixas;964 - Agua e Saneamento; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
969;Custos fixos;969 - Despesas Indedutiveis; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
972;Custos fixos;972 - Impostos e Taxas;-7.208 ;-7.542 ;-7.902 ;-7.542 ;-8.620 ;-7.902 ;-8.261 ;-8.487 ;-7.610 ;-7.073 ;-170 ;-2.783 
973;Custos fixos;973 - ICMS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
974;Custos fixos;974 - Contribuicao Sindical; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
975;Custos fixos;975 - Multas e Juros; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
977;Custos fixos;977 - Taxa de Incendio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
979;Custos variáveis;979 - Funrural; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
982;Custos fixos;982 - IRPJ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
983;Custos fixos;983 - Contribuicao Social s/ Lucro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
984;Custos fixos;984 - ITR; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
987;Custos fixos;987 - Imposto de Renda; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
988;Despesas Administrativas fixas;988 - Despesas Indedutiveis; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
991;Despesas Administrativas fixas;991 - Impostos Taxas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
992;Despesas Administrativas fixas;992 - ICMS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
993;Despesas Administrativas fixas;993 - Contribuicao Sindical / Patronal / Conselho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
994;Despesas Administrativas fixas;994 - Multas e Juros; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
996;Despesas Administrativas fixas;996 - Taxa de Incendio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
998;Despesas Administrativas fixas;998 - Funrural; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1001;Despesas Administrativas fixas;1001 - IRPJ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1002;Despesas Administrativas fixas;1002 - Contr.Social s/o Lucro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1003;Despesas Administrativas fixas;1003 - ITR; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1026;Custos variáveis;1026 - Combustiveis e Lubrificantes;-45.134 ;-47.230 ;-49.479 ;-47.230 ;-53.977 ;-49.479 ;-51.728 ;-53.147 ;-47.656 ;-44.289 ;-54.532 ;-33.722 
1027;Custos fixos;1027 - Manutencao de Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1028;Custos fixos;1028 - Pneus e Camaras; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
