Conta;DRE1;C5;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/25;fev/25
997;Custos variáveis;997 - Frango Vivo (Compra);-2.074.042,50 ;-713.624,47 ;-2.431.102,26 ;-3.436.216,48 ;-6.065.412,94 ;-3.591.567,95 ;-5.821.207,60 ;-5.773.191,02 ;-4.224.048,26 ;-2.577.123,28 ;-3.261.903,49 ;-1.486.601,32 
1001;Custos variáveis;1001 - Transferencia de Custos; 10.954.462,97 ; 13.169.699,55 ; 13.779.472,34 ; 15.615.975,18 ; 18.035.095,54 ; 16.053.160,02 ; 17.633.769,45 ; 18.282.256,55 ; 15.723.292,81 ; 15.695.125,62 ; 18.158.784,12 ; 15.366.910,39 
1003;Custos variáveis;1003 - Variacao de Custos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1005;Custos variáveis;1005 - Lenha;-112.805,68 ;-136.955,82 ;-143.497,87 ;-162.141,92 ;-186.121,80 ;-170.201,45 ;-178.082,77 ;-185.128,81 ;-161.140,74 ;-161.721,71 ;-111.868,58 ;-178.865,09 
1018;Despesas Não Dedutíveis fixas;1018 - Multas de Transito;-599,09 ;-725,18 ;-759,82 ;-858,54 ;-985,52 ;-901,22 ;-942,95 ;-980,26 ;-853,24 ;-856,32 ; -   ;-290,34 
1026;Custos fixos;1026 - Pensao Alimenticia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1036;Custos variáveis;1036 - Prestacao de Servico de Incubacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1037;Custos variáveis;1037 - Custo Terc, Indust. Racao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1039;Custos fixos;1039 - PPR CCT Sind. T. T. SJDR; -   ;-2.436,03 ;-2.436,03 ;-2.436,03 ;-2.436,03 ;-2.436,03 ;-2.436,03 ;-2.436,03 ;-2.436,03 ;-2.436,03 ; -   ; -   
1040;Despesas Não Dedutíveis fixas;1040 - Patrocinio e Doacoes; -   ;-8.303,99 ;-8.700,66 ;-9.831,10 ;-11.285,06 ;-10.319,77 ;-10.797,64 ;-11.224,85 ;-9.770,39 ;-9.805,62 ;-12.729,70 ;-6.338,38 
1041;Despesas Não Dedutíveis fixas;1041 - Despesas nao dedutiveis;-4.311,80 ;-5.219,31 ;-5.468,62 ;-6.179,14 ;-7.093,00 ;-6.486,28 ;-6.786,64 ;-7.055,16 ;-6.140,99 ;-6.163,13 ;-363.983,30 ;-461.407,40 
1042;Despesas Administrativas fixas;1042 - Comissao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1043;Outras Receitas/Despesas Financeiras;1043 - Ganhos e Perdas de Capital; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1059;Depreciações e Amortizações;1059 - Custo Venda Ativo Imobilizado; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1063;Custos fixos;1063 - Gas - Amonia;-1.591,19 ;-1.931,84 ;-2.024,11 ;-2.287,10 ;-2.625,35 ;-2.400,78 ;-2.511,96 ;-2.611,34 ;-2.272,98 ;-2.281,17 ;-1.854,10 ;-1.545,09 
1082;Despesas Administrativas fixas;1082 - INSS Produtor Rural; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1083;Despesas Administrativas fixas;1083 - Despesa com Assistencia Medica/Odontologica/Exames/Farmacia; -   ;-8.177,21 ;-8.177,21 ;-8.177,21 ;-8.177,21 ;-8.177,21 ;-8.177,21 ;-8.177,21 ;-8.177,21 ;-8.177,21 ; -   ; -   
1084;Despesas Administrativas fixas;1084 - Adicional Periculosidade; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1085;Despesas Administrativas fixas;1085 - 1/12 de 13° Indenizado Aviso Previo;-804,52 ;-857,89 ;-857,89 ;-857,89 ;-857,89 ;-857,89 ;-857,89 ;-857,89 ;-857,89 ;-857,89 ; -   ; -   
1086;Custos variáveis;1086 - Viagens, Estadias e Refeicao;-8.126,62 ;-9.866,42 ;-10.337,72 ;-11.680,85 ;-13.408,38 ;-12.261,47 ;-12.829,24 ;-13.336,85 ;-11.608,73 ;-11.650,58 ;-12.727,55 ;-16.625,25 
1087;Custos fixos;1087 - Curso e Treinamento; -   ;-3.965,31 ;-3.965,31 ;-3.965,31 ;-3.965,31 ;-3.965,31 ;-3.965,31 ;-3.965,31 ;-3.965,31 ;-3.965,31 ; -   ; -   
1088;Outras Receitas/Despesas Financeiras;1088 - Outras Receitas Financeiras; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1092;Custos variáveis;1092 - Fretes e Carretos;-5.260,01 ;-6.386,10 ;-6.691,15 ;-7.560,51 ;-8.678,66 ;-7.936,32 ;-8.303,81 ;-8.632,36 ;-7.513,82 ;-7.540,91 ;-151,99 ;-249,26 
