Conta;DRE1;C5;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/25;fev/25
1241;Despesas Comerciais / Logistica/ Expedição fixas;1241 - Insuficiencia de Saldo;-301,92 ;-607,34 ;-607,34 ;-607,34 ;-607,34 ;-607,34 ;-607,34 ;-607,34 ;-607,34 ;-607,34 ; -   ;-268,58 
1242;Custos fixos;1242 - Aviso Previo Descontado na Rescisao; 4.848,09 ; 4.270,56 ; 4.270,56 ; 4.270,56 ; 4.270,56 ; 4.270,56 ; 4.270,56 ; 4.270,56 ; 4.270,56 ; 4.270,56 ; 8.898,27 ; 6.355,87 
1250;Despesas Administrativas fixas;1250 - PPR CCT Sind. T. T. SJDR;-261,34 ;-278,69 ;-278,69 ;-278,69 ;-278,69 ;-278,69 ;-278,69 ;-278,69 ;-278,69 ;-278,69 ; -   ; -   
1251;Despesas Comerciais / Logistica/ Expedição fixas;1251 - Verbas Indenizatorias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-7.526,53 ;-315,99 
1252;Despesas Comerciais / Logistica/ Expedição fixas;1252 - Provisao 13° Salarios;-6.310,38 ;-12.694,05 ;-12.694,05 ;-12.694,05 ;-12.694,05 ;-12.694,05 ;-12.694,05 ;-12.694,05 ;-12.694,05 ;-12.694,05 ;-11.558,92 ;-9.672,14 
1253;Despesas Comerciais / Logistica/ Expedição fixas;1253 - Salario Quitacao Demissao;-7.725,17 ;-15.540,06 ;-15.540,06 ;-15.540,06 ;-15.540,06 ;-15.540,06 ;-15.540,06 ;-15.540,06 ;-15.540,06 ;-15.540,06 ;-508,47 ;-2.669,46 
1254;Despesas Comerciais / Logistica/ Expedição fixas;1254 - Transporte de Funcionarios;-9.502,39 ;-19.115,14 ;-19.115,14 ;-19.115,14 ;-19.115,14 ;-19.115,14 ;-19.115,14 ;-19.115,14 ;-19.115,14 ;-19.115,14 ;-23.919,12 ;-25.019,63 
1255;Despesas Comerciais / Logistica/ Expedição fixas;1255 - Alimentacao do Trabalhador;-26.555,19 ;-87.919,70 ;-87.919,70 ;-87.919,70 ;-87.919,70 ;-87.919,70 ;-87.919,70 ;-87.919,70 ;-87.919,70 ;-87.919,70 ;-20.559,69 ;-19.802,26 
1256;Outras Receitas/Despesas Operacionais;1256 - Credito PIS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1257;Outras Receitas/Despesas Operacionais;1257 - Credito COFINS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1258;Outras Receitas/Despesas Operacionais;1258 - Venda de Sucata; 1.992,33 ; 2.418,86 ; 2.534,39 ; 2.863,68 ; 3.287,20 ; 3.006,02 ; 3.145,22 ; 3.269,66 ; 2.846,00 ; 2.856,25 ; 2.049,12 ; 13.844,32 
1259;Despesas Comerciais / Logistica / Expedição variáveis;1259 - Amostra Gratis;-57,60 ;-69,72 ;-73,05 ;-82,54 ;-94,75 ;-86,65 ;-90,66 ;-94,25 ;-82,03 ;-82,33 ; -   ; -   
1265;Despesas Administrativas fixas;1265 - Despesas com IRPJ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1266;Despesas Administrativas fixas;1266 - Despesa com CSLL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1268;Despesas Administrativas fixas;1268 - Despesa com Pis;-175,59 ;-212,54 ;-222,69 ;-251,63 ;-288,84 ;-264,13 ;-276,37 ;-287,30 ;-250,07 ;-250,98 ;-143,16 ;-79,54 
1269;Despesas Administrativas fixas;1269 - Despesa com Cofins;-1.080,50 ;-1.307,92 ;-1.370,39 ;-1.548,44 ;-1.777,45 ;-1.625,41 ;-1.700,68 ;-1.767,96 ;-1.538,88 ;-1.544,43 ;-881,01 ;-489,43 
1283;Despesas Administrativas fixas;1283 - Desconto EPI CL 9º CCT; 364,30 ; 388,48 ; 388,48 ; 388,48 ; 388,48 ; 388,48 ; 388,48 ; 388,48 ; 388,48 ; 388,48 ; -   ; 19,18 
1284;Custos fixos;1284 - Ajuda Compensatoria; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1286;Despesas Comerciais / Logistica/ Expedição fixas;1286 - Seguro de Vida Funcionarios;-214,66 ;-431,81 ;-431,81 ;-431,81 ;-431,81 ;-431,81 ;-431,81 ;-431,81 ;-431,81 ;-431,81 ;-196,80 ;-207,59 
1288;Receita Bruta de Vendas;1288 - Revenda de Mercadoria; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1289;Despesas Financeiras FIDC;1289 - Despesa com Duplicatas Descontadas;-110.326,84 ;-134.829,61 ;-145.202,30 ;-165.695,43 ;-180.598,93 ;-154.029,35 ;-157.533,02 ;-157.235,88 ;-126.857,79 ;-113.821,02 ;-150.340,50 ;-138.343,01 
1290;Custos variáveis;1290 - Servico de Industrializacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1293;Outras Receitas/Despesas Operacionais;1293 - Credito de CSRF; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1294;Outras Receitas/Despesas Operacionais;1294 - Credito de IRRF; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1295;Custos fixos;1295 - Ferias em Dobro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1296;Custos fixos;1296 - 1/3 de Ferias em Dobro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1297;Despesas Administrativas fixas;1297 - Ferias em Dobro;-247,64 ;-264,07 ;-264,07 ;-264,07 ;-264,07 ;-264,07 ;-264,07 ;-264,07 ;-264,07 ;-264,07 ; -   ; -   
1298;Despesas Administrativas fixas;1298 - 1/3 Abono de Ferias em Dobro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1307;Despesas Administrativas fixas;1307 - IRRF; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1308;Despesas Comerciais / Logistica/ Expedição fixas;1308 - INSS s/ 13º Salario; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1309;Despesas Comerciais / Logistica/ Expedição fixas;1309 - Pensao Alimenticia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1313;Outras Receitas/Despesas Financeiras;1313 - Perdas com Acordos de Fornecedores; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1314;Custos variáveis;1314 - Pao de queijo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1315;Despesas Administrativas fixas;1315 - Bolsa Estagio;-2.350,78 ;-2.506,76 ;-2.506,76 ;-2.506,76 ;-2.506,76 ;-2.506,76 ;-2.506,76 ;-2.506,76 ;-2.506,76 ;-2.506,76 ;-753,83 ;-635,59 
1316;Custos fixos;1316 - Bolsa Estagio;-5.937,59 ;-5.230,28 ;-5.230,28 ;-5.230,28 ;-5.230,28 ;-5.230,28 ;-5.230,28 ;-5.230,28 ;-5.230,28 ;-5.230,28 ;-4.606,76 ;-4.830,46 
1317;Despesas Administrativas fixas;1317 - Despesas com Contrato Bancario;-26,15 ;-31,65 ;-33,17 ;-37,48 ;-43,03 ;-39,34 ;-41,17 ;-42,79 ;-37,25 ;-37,38 ; -   ; -   
1319;Outras Receitas/Despesas Operacionais;1319 - Revenda de Sal Moido; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1332;Depreciações e Amortizações;1332 - Amortizacoes;-233,36 ;-233,36 ;-233,36 ;-233,36 ;-233,36 ;-233,36 ;-233,36 ;-233,36 ;-233,36 ;-233,36 ;-236,21 ;-236,21 
1334;Outras Receitas/Despesas Operacionais;1334 - Revenda de Soja; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1335;Outras Receitas/Despesas Operacionais;1335 - Revenda de Quirela; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1340;Outras Receitas/Despesas Operacionais;1340 - Revenda de Materia Prima; 3.714,64 ; 4.509,89 ; 4.725,32 ; 5.339,26 ; 6.128,91 ; 5.604,66 ; 5.864,19 ; 6.096,21 ; 5.306,29 ; 5.325,43 ; -   ; -   
1341;Custos variáveis;1341 - Revenda de insumos;-8.476,68 ;-10.291,42 ;-10.783,02 ;-12.184,01 ;-13.985,95 ;-12.789,64 ;-13.381,87 ;-13.911,34 ;-12.108,78 ;-12.152,43 ;-78.320,44 ;-43.077,32 
1353;Outras Receitas/Despesas Operacionais;1353 - Prestacao de Servicos de Secagem de Milho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1354;Despesas Comerciais / Logistica/ Expedição fixas;1354 - Decimo Terceiro Prop. Ped. Demissao;-3.147,22 ;-6.331,00 ;-6.331,00 ;-6.331,00 ;-6.331,00 ;-6.331,00 ;-6.331,00 ;-6.331,00 ;-6.331,00 ;-6.331,00 ;-105,93 ;-111,55 
1355;Despesas Comerciais / Logistica/ Expedição fixas;1355 - Salario Quitacao Ped. Demissao;-2.944,11 ;-5.922,40 ;-5.922,40 ;-5.922,40 ;-5.922,40 ;-5.922,40 ;-5.922,40 ;-5.922,40 ;-5.922,40 ;-5.922,40 ;-1.194,56 ;-338,98 
1356;Custos fixos;1356 - Reposicao de KM; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1357;Custos variáveis;1357 - Transporte de Racao;-189.806,00 ;-266.070,49 ;-231.252,34 ;-252.395,52 ;-236.960,55 ;-257.737,38 ;-235.035,39 ;-250.192,12 ;-230.097,77 ;-273.341,47 ;-193.323,91 ;-176.421,73 
1358;Despesas Administrativas fixas;1358 - Reposicao de KM; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1360;Custos variáveis;1360 - Transferencia Industrializados; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1361;Custos variáveis;1361 - Frango Vivo (Transferencia);-4.973.321,97 ;-7.801.467,71 ;-6.693.144,53 ;-7.194.202,39 ;-6.727.678,37 ;-7.347.385,04 ;-6.677.707,55 ;-7.228.074,93 ;-6.614.134,76 ;-8.058.709,73 ;-5.764.480,06 ;-5.799.842,63 
1365;Despesas Comerciais / Logistica/ Expedição fixas;1365 - Vale Transporte;-680,79 ;-1.369,48 ;-1.369,48 ;-1.369,48 ;-1.369,48 ;-1.369,48 ;-1.369,48 ;-1.369,48 ;-1.369,48 ;-1.369,48 ;-566,85 ;-631,17 
1366;Impostos sobre vendas;1366 - ISSQN; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1368;Custos variáveis;1368 - Servico de Apanha de Aves;-132.000,87 ;-185.636,20 ;-161.343,73 ;-176.095,24 ;-165.326,32 ;-179.822,24 ;-163.983,14 ;-171.648,64 ;-157.862,55 ;-187.530,65 ;-141.455,57 ;-148.402,47 
1369;Custos variáveis;1369 - Rateio Producao Avicola; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-53.505,30 ;-54.052,44 
1370;Despesas Comerciais / Logistica/ Expedição fixas;1370 - Bolsa Estagio;-1.435,07 ;-2.886,81 ;-2.886,81 ;-2.886,81 ;-2.886,81 ;-2.886,81 ;-2.886,81 ;-2.886,81 ;-2.886,81 ;-2.886,81 ; -   ; -   
1373;Custos variáveis;1373 - Variacao de Custo da Fabrica de Racao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-261.648,60 ;-83.217,91 
1380;Despesas Administrativas fixas;1380 - Ajuda de Custo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1381;Despesas Comerciais / Logistica/ Expedição fixas;1381 - Despesa com Assistencia Medica/Odontologica/Exames/Farmacia;-7.787,82 ;-13.369,09 ;-13.369,09 ;-13.369,09 ;-13.369,09 ;-13.369,09 ;-13.369,09 ;-13.369,09 ;-13.369,09 ;-13.369,09 ; -   ; -   
1382;Custos fixos;1382 - Ajuda de Custo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1383;Custos fixos;1383 - Desconto Rescisao TRCT; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1384;Outras Receitas/Despesas Operacionais;1384 - Credito de PIS e COFINS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1386;Custos variáveis;1386 - Ajuste CPV; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-93.091,36 ; -   
1388;Despesas Administrativas fixas;1388 - Indenizacao Art 480 CLT; 554,94 ; 591,76 ; 591,76 ; 591,76 ; 591,76 ; 591,76 ; 591,76 ; 591,76 ; 591,76 ; 591,76 ; -   ; -   
1389;Custos fixos;1389 - INSS Desoneracao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1390;Despesas Comerciais / Logistica/ Expedição fixas;1390 - Serviços de Apoio a Gestao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5.032,60 ; 12.497,73 
1411;Custos variáveis;1411 - Combustiveis e Lubrificantes de Maquinas;-7.588,19 ;-18.425,44 ;-19.305,58 ;-21.813,87 ;-25.040,02 ;-22.898,16 ;-23.958,48 ;-24.906,42 ;-21.679,17 ;-21.757,34 ;-17.370,51 ;-31.998,90 
1417;Despesas Financeiras Bancárias;1417 - Despesa com IOF;-6.607,79 ;-7.954,58 ;-8.566,54 ;-9.775,58 ;-11.364,55 ;-10.384,28 ;-11.436,62 ;-12.365,26 ;-10.882,14 ;-10.738,91 ;-3.983,38 ;-9.958,04 
1422;Custos variáveis;1422 - Taxas;-12.883,33 ;-15.641,48 ;-16.388,64 ;-18.517,94 ;-21.256,64 ;-19.438,41 ;-20.338,52 ;-21.143,23 ;-18.403,60 ;-18.469,95 ;-7.531,88 ;-8.114,02 
1423;Custos fixos;1423 - Multas Contratuais; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1426;Depreciações e Amortizações;1426 - Amortizacoes;-1.345,18 ;-1.345,18 ;-1.345,18 ;-1.345,18 ;-1.345,18 ;-1.345,18 ;-1.345,18 ;-1.345,18 ;-1.345,18 ;-1.345,18 ;-161,63 ;-161,63 
1428;Despesas Comerciais / Logistica/ Expedição fixas;1428 - Ferias em Dobro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1429;Despesas Comerciais / Logistica/ Expedição fixas;1429 - 1/3 de Ferias em Dobro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1430;Despesas Comerciais / Logistica/ Expedição fixas;1430 - Cestas de Natal;-6.978,33 ;-6.978,33 ;-6.978,33 ;-6.978,33 ;-6.978,33 ;-6.978,33 ;-6.978,33 ;-6.978,33 ;-6.978,33 ;-6.978,33 ; -   ; -   
1433;Outras Receitas/Despesas Operacionais;1433 - Provisao Perda ICMS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-91.055,35 ;-121.761,27 
1434;Custos variáveis;1434 - Produtos de Tratamento de Agua;-24.626,92 ;-29.899,21 ;-31.327,42 ;-35.397,66 ;-40.632,77 ;-37.157,15 ;-38.877,75 ;-40.415,99 ;-35.179,09 ;-35.305,92 ;-18.104,80 ;-46.691,62 
1435;Custos variáveis;1435 - Perda por Roubo ou Deterioracao;-21,43 ;-26,02 ;-27,26 ;-30,80 ;-35,36 ;-32,33 ;-33,83 ;-35,17 ;-30,61 ;-30,72 ; -   ; -   
1436;Custos variáveis;1436 - Remuneracao de Integrado;-509.301,25 ;-790.497,86 ;-687.052,84 ;-749.869,42 ;-704.011,98 ;-765.740,16 ;-698.292,29 ;-730.934,38 ;-672.228,88 ;-798.565,04 ;-443.241,20 ;-657.896,97 
1437;Outras Receitas/Despesas Operacionais;1437 - Despesas Operacionais; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1438;Outras Receitas/Despesas Operacionais;1438 - Indenizacoes de Seguros Recebidas; 1.381,31 ; 1.677,04 ; 1.757,14 ; 1.985,43 ; 2.279,08 ; 2.084,13 ; 2.180,63 ; 2.266,92 ; 1.973,17 ; 1.980,29 ; -   ; -   
1439;Custos fixos;1439 - Provisao FGTS s/ Ferias e 1/3 de Ferias;-3.323,06 ;-2.927,20 ;-2.927,20 ;-2.927,20 ;-2.927,20 ;-2.927,20 ;-2.927,20 ;-2.927,20 ;-2.927,20 ;-2.927,20 ;-4.994,61 ;-3.941,41 
1440;Despesas Administrativas fixas;1440 - Provisao FGTS s/ Ferias e 1/3 de Ferias;-996,36 ;-1.062,48 ;-1.062,48 ;-1.062,48 ;-1.062,48 ;-1.062,48 ;-1.062,48 ;-1.062,48 ;-1.062,48 ;-1.062,48 ;-918,96 ;-903,20 
1441;Despesas Comerciais / Logistica/ Expedição fixas;1441 - Provisao FGTS s/ Ferias e 1/3 de Ferias;-41,16 ;-82,79 ;-82,79 ;-82,79 ;-82,79 ;-82,79 ;-82,79 ;-82,79 ;-82,79 ;-82,79 ;-786,35 ;-569,00 
1442;Custos fixos;1442 - Provisao INSS s/ Ferias e 1/3 de Ferias; -   ;-27.550,67 ;-27.550,67 ;-27.550,67 ;-27.550,67 ;-27.550,67 ;-27.550,67 ;-27.550,67 ;-27.550,67 ;-27.550,67 ;-38.746,67 ;-34.550,65 
1443;Despesas Administrativas fixas;1443 - Provisao INSS s/ Ferias e 1/3 de Ferias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-6.911,65 ;-6.502,09 
1444;Despesas Comerciais / Logistica/ Expedição fixas;1444 - Provisao INSS s/ Ferias e 1/3 de Ferias; -   ;-1.056,15 ;-1.056,15 ;-1.056,15 ;-1.056,15 ;-1.056,15 ;-1.056,15 ;-1.056,15 ;-1.056,15 ;-1.056,15 ;-6.769,90 ;-5.955,68 
1446;Despesas Comerciais / Logistica/ Expedição fixas;1446 - Aluguel;-20.848,10 ;-25.311,39 ;-26.520,46 ;-29.966,15 ;-34.397,97 ;-31.455,67 ;-32.912,25 ;-34.214,46 ;-29.781,12 ;-29.888,49 ;-25.931,83 ;-19.690,72 
1450;Custos variáveis;1450 - Pao de Queijo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1451;Despesas Comerciais / Logistica/ Expedição fixas;1451 - Taxas;-13,70 ;-16,58 ;-17,38 ;-19,63 ;-22,53 ;-20,61 ;-21,56 ;-22,42 ;-19,51 ;-19,58 ; -   ; -   
1453;Custos variáveis;1453 - Mercadorias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1460;Despesas Comerciais / Logistica/ Expedição fixas;1460 - Ferias Proporcionais;-8.842,57 ;-17.787,83 ;-17.787,83 ;-17.787,83 ;-17.787,83 ;-17.787,83 ;-17.787,83 ;-17.787,83 ;-17.787,83 ;-17.787,83 ;-4.012,36 ;-501,63 
1461;Despesas Comerciais / Logistica/ Expedição fixas;1461 - 1/3 Ferias Proporcionais;-2.947,52 ;-5.929,28 ;-5.929,28 ;-5.929,28 ;-5.929,28 ;-5.929,28 ;-5.929,28 ;-5.929,28 ;-5.929,28 ;-5.929,28 ;-1.337,45 ;-167,21 
1462;Despesas Administrativas fixas;1462 - Confraternizacao e Eventos;-4.003,50 ;-4.846,13 ;-5.077,63 ;-5.737,34 ;-6.585,86 ;-6.022,52 ;-6.301,39 ;-6.550,72 ;-5.701,91 ;-5.722,47 ;-5.507,03 ;-500,93 
1464;Custos fixos;1464 - Vale Combustivel;-1.404,91 ;-1.237,55 ;-1.237,55 ;-1.237,55 ;-1.237,55 ;-1.237,55 ;-1.237,55 ;-1.237,55 ;-1.237,55 ;-1.237,55 ; -   ;-804,26 
1465;Despesas Administrativas fixas;1465 - Vale Combustivel;-2.220,71 ;-2.368,05 ;-2.368,05 ;-2.368,05 ;-2.368,05 ;-2.368,05 ;-2.368,05 ;-2.368,05 ;-2.368,05 ;-2.368,05 ; -   ;-991,29 
1466;Despesas Comerciais / Logistica/ Expedição fixas;1466 - Vale Combustivel; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-74,81 
1467;Despesas Comerciais / Logistica/ Expedição fixas;1467 - Indenizacao Art 480 CLT; 1.649,77 ; 3.318,71 ; 3.318,71 ; 3.318,71 ; 3.318,71 ; 3.318,71 ; 3.318,71 ; 3.318,71 ; 3.318,71 ; 3.318,71 ; -   ; -   
1468;Despesas Comerciais / Logistica/ Expedição fixas;1468 - Desconto EPI CL 9º CCT; 624,48 ; 1.256,23 ; 1.256,23 ; 1.256,23 ; 1.256,23 ; 1.256,23 ; 1.256,23 ; 1.256,23 ; 1.256,23 ; 1.256,23 ; 666,24 ; 708,13 
1471;Custos fixos;1471 - Plano Funerario;-2.222,48 ;-1.957,73 ;-1.957,73 ;-1.957,73 ;-1.957,73 ;-1.957,73 ;-1.957,73 ;-1.957,73 ;-1.957,73 ;-1.957,73 ;-1.302,70 ;-1.293,92 
1472;Despesas Administrativas fixas;1472 - Plano Funerario;-315,93 ;-336,89 ;-336,89 ;-336,89 ;-336,89 ;-336,89 ;-336,89 ;-336,89 ;-336,89 ;-336,89 ;-298,88 ;-296,12 
1473;Despesas Comerciais / Logistica/ Expedição fixas;1473 - Plano Funerario;-330,51 ;-664,85 ;-664,85 ;-664,85 ;-664,85 ;-664,85 ;-664,85 ;-664,85 ;-664,85 ;-664,85 ;-288,85 ;-282,81 
1474;Despesas Administrativas fixas;1474 - Pedagio e Avarias;-375,73 ;-454,82 ;-476,54 ;-538,46 ;-618,09 ;-565,22 ;-591,40 ;-614,79 ;-535,13 ;-537,07 ;-2.870,65 ;-1.719,82 
1475;Custos variáveis;1475 - Pedagio e Avarias;-1.279,96 ;-1.553,98 ;-1.628,21 ;-1.839,75 ;-2.111,84 ;-1.931,20 ;-2.020,63 ;-2.100,58 ;-1.828,40 ;-1.834,99 ;-2.811,04 ;-4.177,05 
1476;Despesas Comerciais / Logistica / Expedição variáveis;1476 - Pedagio e Avarias;-1.435,21 ;-1.737,29 ;-1.820,27 ;-2.056,77 ;-2.360,96 ;-2.159,01 ;-2.258,98 ;-2.348,36 ;-2.044,07 ;-2.051,44 ;-5.704,04 ;-2.063,82 
1477;Custos variáveis;1477 - Maquinas, Moveis e Utensilios;-1.446,58 ;-1.756,27 ;-1.840,16 ;-2.079,25 ;-2.386,76 ;-2.182,60 ;-2.283,67 ;-2.374,02 ;-2.066,41 ;-2.073,86 ;-1.986,37 ;-2.492,61 
1478;Despesas Administrativas fixas;1478 - Maquinas, Moveis e Utensilios;-121,78 ;-147,42 ;-154,46 ;-174,53 ;-200,34 ;-183,21 ;-191,69 ;-199,27 ;-173,45 ;-174,08 ;; -   
1479;Despesas Comerciais / Logistica / Expedição variáveis;1479 - Maquinas, Moveis e Utensilios;-123,45 ;-149,43 ;-156,57 ;-176,91 ;-203,08 ;-185,70 ;-194,30 ;-201,99 ;-175,82 ;-176,46 ;-540,32 ; -   
1488;Despesas Comerciais / Logistica/ Expedição fixas;1488 - Acordo Trabalhista; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-3.349,60 ;-3.349,60 
1489;Deduções de vendas;1489 - Desconto Incondicional s/ Vendas;-3.293,12 ;-3.964,32 ;-4.269,30 ;-4.871,85 ;-5.663,74 ;-5.175,21 ;-5.699,66 ;-6.162,47 ;-5.423,32 ;-5.351,94 ;-688,11 ;-3.593,89 
1490;Receita Bruta de Vendas;1490 - Vendas Fabrica de Racoes; 8.476,68 ; 10.291,42 ; 10.783,02 ; 12.184,01 ; 13.985,95 ; 12.789,64 ; 13.381,87 ; 13.911,34 ; 12.108,78 ; 12.152,43 ; 36.577,91 ; 15.362,10 
1494;Custos fixos;1494 - Multa FGTS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-4.461,75 ;-5.954,71 
1495;Despesas Administrativas fixas;1495 - Multa FGTS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1496;Despesas Comerciais / Logistica/ Expedição fixas;1496 - Multa FGTS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-13.793,69 ;-9.997,54 
1497;Custos fixos;1497 - Provisao FGTS s/ 13° Salario;-5.201,95 ;-4.582,27 ;-4.582,27 ;-4.582,27 ;-4.582,27 ;-4.582,27 ;-4.582,27 ;-4.582,27 ;-4.582,27 ;-4.582,27 ;-4.004,22 ;-3.847,04 
1498;Despesas Administrativas fixas;1498 - Provisao FGTS s/ 13° Salario;-877,68 ;-935,91 ;-935,91 ;-935,91 ;-935,91 ;-935,91 ;-935,91 ;-935,91 ;-935,91 ;-935,91 ;-827,90 ;-874,64 
1499;Despesas Comerciais / Logistica/ Expedição fixas;1499 - Provisao FGTS s/ 13° Salario;-498,77 ;-1.003,35 ;-1.003,35 ;-1.003,35 ;-1.003,35 ;-1.003,35 ;-1.003,35 ;-1.003,35 ;-1.003,35 ;-1.003,35 ;-924,72 ;-773,74 
1500;Custos fixos;1500 - Material de Higienizacao e Limpeza;-17.433,53 ;-26.249,18 ;-27.503,05 ;-31.076,39 ;-35.672,42 ;-32.621,09 ;-34.131,65 ;-35.482,10 ;-30.884,50 ;-30.995,86 ;-27.706,38 ;-30.860,48 
1501;Despesas Administrativas fixas;1501 - Material de Higienizacao e Limpeza;-819,71 ;-992,23 ;-1.039,62 ;-1.174,70 ;-1.348,43 ;-1.233,09 ;-1.290,19 ;-1.341,24 ;-1.167,44 ;-1.171,66 ;-1.493,65 ;-2.723,74 
1502;Despesas Comerciais / Logistica/ Expedição fixas;1502 - Material de Higienizacao e Limpeza;-230,89 ;-279,48 ;-292,83 ;-330,88 ;-379,82 ;-347,33 ;-363,41 ;-377,79 ;-328,84 ;-330,02 ;-660,94 ;-83,77 
1503;Custos fixos;1503 - Material de Copa e Cozinha;-12.902,50 ;-20.748,13 ;-21.739,21 ;-24.563,69 ;-28.196,52 ;-25.784,67 ;-26.978,65 ;-28.046,09 ;-24.412,02 ;-24.500,03 ;-2.282,38 ;-2.061,54 
1504;Despesas Administrativas fixas;1504 - Material de Copa e Cozinha;-1.041,71 ;-1.110,83 ;-1.110,83 ;-1.110,83 ;-1.110,83 ;-1.110,83 ;-1.110,83 ;-1.110,83 ;-1.110,83 ;-1.110,83 ;-530,38 ;-1.818,10 
1505;Despesas Comerciais / Logistica/ Expedição fixas;1505 - Material de Copa e Cozinha;-86,62 ;-104,86 ;-109,87 ;-124,14 ;-142,50 ;-130,31 ;-136,35 ;-141,74 ;-123,37 ;-123,82 ;-598,90 ;-83,74 
1506;Outras Receitas/Despesas Operacionais;1506 - Provisoes Processos Ambientais; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1507;Outras Receitas/Despesas Operacionais;1507 - Provisoes Processos Civeis; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
